text,label
"Dear customer, your account has been compromised. Please login immediately to secure it at http://secure-login-update.com.",Phishing
"Hey team, just wanted to check if we are still on for the meeting tomorrow at 10 AM.",Safe
"URGENT: Your bank account will be closed in 24 hours. Verify your details here: http://bank-update-info.com/login",Phishing
"Hi John, attached is the report for this week's progress. Let me know if you need anything else.",Safe
"You have won a $1,000 Walmart gift card! Click here to claim your prize before it expires: http://claim-prize-now.net",Phishing
"Don't forget to submit your timesheets by Friday evening.",Safe
"Verify your Apple ID immediately. We have detected suspicious activity. Click here to login: http://apple-verify-secure.org",Phishing
"Can we reschedule our lunch? I have a conflict on Wednesday.",Safe
"Your Netflix subscription has expired. Please update your payment information here: http://netflix-billing-update.com",Phishing
"Thanks for reaching out. I'll review the documents and get back to you by EOD.",Safe
"Congratulations! You've been selected for a free vacation to the Bahamas. Click the link to claim: http://free-vacation-winner.com",Phishing
"Please find the invoice attached for the services rendered in June.",Safe
"Security Alert: Your email account needs to be verified. Failure to do so will result in termination. http://email-verify-portal.com",Phishing
"Are we still playing tennis this weekend? Let me know.",Safe
"Update your PayPal account to avoid suspension. Click the link: http://paypal-secure-update.com",Phishing
"Happy birthday! Hope you have a wonderful day.",Safe
"Action Required: Your Microsoft Office 365 password expires today. Update it now: http://office365-password-update.net",Phishing
"The quarterly earnings report is now available on the company intranet.",Safe
"Warning: Unusual login attempt detected on your Amazon account. Secure it now: http://amazon-login-security.com",Phishing
"Let's catch up over coffee soon!",Safe
